regio2,totalRent,balcony,livingSpace,noRooms
Stuttgart,1145.0,0,53.0,2.0
Köln,1000.0,1,78.0,3.0
Köln,770.0,1,59.0,2.0
Stuttgart,885.0,1,30.0,2.0
Köln,1400.0,0,86.0,4.0
Köln,1245.0,0,80.0,3.0
Köln,895.0,1,81.0,2.0
Stuttgart,3350.0,1,163.13,3.5
Köln,920.0,1,55.0,2.0
Köln,1040.0,0,94.93,4.0
Köln,910.0,0,60.0,2.0
Stuttgart,1450.0,0,50.0,1.0
Stuttgart,2580.65,1,135.31,5.0
Köln,1250.0,1,95.0,4.0
Köln,857.43,1,73.0,2.0
Stuttgart,1715.0,0,90.0,3.0
Köln,1570.0,1,140.0,3.0
Stuttgart,1000.0,1,45.0,2.0
Köln,1850.0,0,70.0,3.5
Stuttgart,830.0,0,35.0,1.0
Stuttgart,600.0,0,36.0,1.0
Stuttgart,1590.0,1,76.0,3.0
Stuttgart,2200.0,0,94.0,3.5
Stuttgart,995.0,1,65.0,2.5
Köln,690.0,1,36.0,1.0
Köln,1220.0,1,79.0,3.0
Köln,1060.0,1,89.0,3.0
Stuttgart,2850.0,1,120.0,3.5
Köln,1570.0,1,127.0,3.5
Köln,1172.0,1,65.0,2.0
Köln,1050.0,0,33.0,1.0
Köln,1470.0,1,74.59,2.0
Köln,1200.0,1,74.0,3.0
Köln,1440.0,1,93.0,3.0
Köln,2290.0,1,100.0,3.0
Stuttgart,2600.0,0,139.86,5.0
Köln,1200.0,1,78.0,2.0
Köln,1640.0,1,59.0,2.0
Köln,760.0,0,70.0,2.0
Stuttgart,1670.0,1,85.0,3.0
Köln,465.0,1,25.0,1.0
Köln,2600.0,1,115.0,3.0
Köln,896.4,1,48.08,1.0
Köln,1242.0,0,56.0,2.0
Stuttgart,1150.0,1,45.0,2.5
Köln,550.0,0,50.0,1.0
Köln,1490.0,1,55.0,1.0
Köln,1694.0,1,129.0,2.5
Köln,950.0,1,81.0,3.0
Köln,1240.0,0,80.0,2.0
Köln,2846.0,1,161.78,5.0
Köln,2990.0,1,100.0,3.0
Köln,505.0,0,24.0,1.0
